成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,本次余额,股票余额,发生金额,手续费,印花税,其他杂费,资金余额,本次金额,合同编号,市场名称,币种,市场代码,
20260622,16:13:34,,,利息归本,0,2026062200003000100091631,0.000,5.600,0,0,5.600,0.000,0.000,0.000,47076.940,47076.940,NULL,,人民币,,
20260622,10:51:45,600522,中天科技,证券买入,2200,2026062200003000100682855,58.390,128458.000,2200,2200,-128474.690,8.460,0.000,8.230,3543.550,3543.550,10000TU1D4,上海A股,人民币,2,
20260622,10:50:36,002865,钧达股份,证券卖出,1400,2026062200003000100682854,60.710,84994.000,0,0,84941.300,4.740,42.500,5.460,132018.240,132018.240,10001441QG,深圳A股,人民币,1,
20260618,13:24:41,002865,钧达股份,证券卖出,300,2026061800003000100584375,64.580,19374.000,1400,1400,19359.310,3.770,9.690,1.230,47071.340,47071.340,10001CHOJ4,深圳A股,人民币,1,
20260618,09:57:56,002865,钧达股份,证券买入,800,2026061800003000100584372,64.841,51873.000,1700,1700,-51879.220,2.900,0.000,3.320,27712.030,27712.030,10000CORWW,深圳A股,人民币,1,
20260617,15:00:00,603703,盛洋科技,证券卖出,1000,2026061700003000100572072,12.220,12220.000,0,0,12208.770,4.340,6.110,0.780,79591.250,79591.250,10001LIJTO,上海A股,人民币,2,
20260617,10:02:16,002865,钧达股份,证券买入,900,2026061700003000100572071,69.090,62181.000,900,900,-62188.460,3.460,0.000,4.000,67382.480,67382.480,10000D7DA4,深圳A股,人民币,1,
20260616,11:10:15,603703,盛洋科技,证券买入,1000,2026061600003000100556933,12.270,12270.000,1000,1000,-12275.100,4.400,0.000,0.700,129570.940,129570.940,200002W7I9,上海A股,人民币,2,
20260616,09:47:30,002457,青龙管业,证券卖出,2800,2026061600003000100556923,12.880,36064.000,0,0,36040.970,2.680,18.030,2.320,141846.040,141846.040,200001GOW5,深圳A股,人民币,1,
20260615,15:00:00,601869,长飞光纤,证券卖出,100,2026061500003000100575514,450.300,45030.000,0,0,45001.630,2.960,22.520,2.890,105805.070,105805.070,200006CXW5,上海A股,人民币,2,
20260615,14:31:06,000859,国风新材,证券卖出,2700,2026061500003000100575512,11.150,30105.000,2700,2700,30084.940,3.070,15.060,1.930,30826.440,30826.440,200004L6L1,深圳A股,人民币,1,
20260615,14:26:39,000859,国风新材,证券卖出,2700,2026061500003000100575513,11.110,29997.000,0,0,29977.000,3.080,15.000,1.920,60803.440,60803.440,200004V71P,深圳A股,人民币,1,
20260615,11:21:42,002457,青龙管业,证券买入,2800,2026061500003000100575510,12.950,36260.000,2800,2800,-36265.000,2.690,0.000,2.310,741.500,741.500,200003J40H,深圳A股,人民币,1,
20260612,14:39:45,300691,联合光电,证券卖出,1900,2026061200003000100594401,16.050,30495.000,0,0,30474.750,3.060,15.250,1.940,37006.500,37006.500,200006KBSD,深圳A股,人民币,1,
20260611,15:00:00,300691,联合光电,证券买入,1900,2026061100003000100563509,17.180,32642.000,1900,1900,-32647.000,2.910,0.000,2.090,6531.750,6531.750,200005PDNH,深圳A股,人民币,1,
20260611,11:28:59,300723,一品红,证券卖出,1100,2026061100003000100563506,33.390,36729.000,0,0,36705.630,2.650,18.370,2.350,39178.750,39178.750,200003NWL9,深圳A股,人民币,1,
20260611,09:33:20,000859,国风新材,证券买入,5400,2026061100003000100563503,11.020,59508.000,5400,5400,-59515.140,3.320,0.000,3.820,2473.120,2473.120,200000ETBT,深圳A股,人民币,1,
20260610,14:56:43,300723,一品红,证券卖出,1800,2026061000003000100531918,34.050,61290.000,1100,1100,61252.000,3.420,30.650,3.930,61988.260,61988.260,2000054WAH,深圳A股,人民币,1,
20260610,11:28:18,300723,一品红,证券买入,700,2026061000003000100531915,34.240,23968.000,2900,2900,-23973.000,3.460,0.000,1.540,736.260,736.260,200003FSHP,深圳A股,人民币,1,
20260610,11:28:05,300723,一品红,证券买入,400,2026061000003000100531914,34.240,13696.000,2200,2200,-13701.000,4.120,0.000,0.880,24709.260,24709.260,200003FP6T,深圳A股,人民币,1,
20260610,10:28:53,601869,长飞光纤,证券买入,100,2026061000003000100531912,460.700,46070.000,100,100,-46075.990,3.040,0.000,2.950,38410.260,38410.260,200002GYFL,上海A股,人民币,2,
20260610,09:49:46,600143,金发科技,证券卖出,5100,2026061000003000100531911,16.340,83334.000,0,0,83281.500,5.490,41.670,5.340,84486.250,84486.250,200001EVVL,上海A股,人民币,2,
20260609,14:05:25,600143,金发科技,证券买入,3200,2026060900003000100511540,16.600,53120.000,5100,5100,-53126.900,3.500,0.000,3.400,1204.750,1204.750,200003KKWX,上海A股,人民币,2,
20260609,14:02:57,300723,一品红,证券卖出,1500,2026060900003000100511539,35.180,52770.000,1800,1800,52737.270,2.920,26.400,3.410,54331.650,54331.650,200004958H,深圳A股,人民币,1,
20260609,13:38:22,600143,金发科技,证券买入,1900,2026060900003000100511532,16.510,31369.000,1900,1900,-31374.320,3.290,0.000,2.030,1594.380,1594.380,2000039M1D,上海A股,人民币,2,
20260609,11:23:25,300723,一品红,证券买入,800,2026060900003000100511529,35.170,28136.000,3300,3300,-28141.000,3.190,0.000,1.810,32968.700,32968.700,2000035FYL,深圳A股,人民币,1,
20260609,11:06:25,002570,贝因美,证券卖出,11400,2026060900003000100511527,5.310,60534.000,0,0,60496.470,3.380,30.270,3.880,61109.700,61109.700,200002XRID,深圳A股,人民币,1,
20260609,10:52:45,300723,一品红,证券买入,1000,2026060900003000100511526,35.370,35370.000,2500,2500,-35375.000,2.730,0.000,2.270,613.230,613.230,200002REKP,深圳A股,人民币,1,
20260609,10:44:21,600936,北投科技,证券卖出,6600,2026060900003000100511525,5.430,35838.000,0,0,35814.720,3.060,17.920,2.300,35988.230,35988.230,20000274J1,上海A股,人民币,2,
