成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,交易市场,定位串,市场代码,
20260703,10:16:53,600567,山鹰国际,证券卖出,68900,31143018,1.4000,96460.000,68900,96395.940,9.650,48.230,6.180,97167.870,1390002879,上海Ａ股,20260703!596164,2,
20260706,14:27:07,002552,宝鼎科技,证券买入,1600,104000083524794,60.1000,96160.000,3700,-96175.780,9.620,0.000,6.160,3134.450,CL10007076,深圳Ａ股,20260706!588009,1,
20260706,14:26:12,600567,山鹰国际,证券卖出,68900,71120892,1.3800,95082.000,0,95018.860,9.510,47.540,6.090,99310.230,1390004517,上海Ａ股,20260706!588008,2,
20260703,10:18:51,002552,宝鼎科技,证券买入,1500,102000038712871,62.8100,94215.000,1500,-94230.450,9.420,0.000,6.030,2937.420,CL10003603,深圳Ａ股,20260703!596165,1,
20260706,14:34:11,688122,西部超导,证券卖出,1471,73174523,56.5230,83144.670,1472,83089.470,8.310,41.570,5.320,86223.920,1390004630,上海Ａ股,20260706!588010,2,
20260707,13:28:05,600745,*ST闻泰,证券买入,4500,51736149,18.1000,81450.000,4500,-81463.370,8.150,0.000,5.220,1547.910,1390003363,上海Ａ股,20260707!448700,2,
20260707,13:27:38,688122,西部超导,证券卖出,1472,51650220,54.6500,80444.800,0,80391.350,8.040,40.240,5.170,83011.280,1390003357,上海Ａ股,20260707!448699,2,
20260707,10:07:13,300136,信维通信,证券买入,800,105000028162188,94.5430,75634.000,1200,-75646.400,7.560,0.000,4.840,2619.930,CL10002518,深圳Ａ股,20260707!448698,1,
20260706,14:34:22,000528,柳 工,证券买入,9100,103000085174263,8.2800,75348.000,9100,-75360.360,7.530,0.000,4.830,10863.560,CL10007204,深圳Ａ股,20260706!588011,1,
20260706,13:19:13,001283,豪鹏科技,证券买入,1400,105000067649459,50.5300,70742.000,1400,-70753.560,7.070,0.000,4.490,4291.370,CL10005933,深圳Ａ股,20260706!588007,1,
