成交日期,成交时间,证券代码,证券名称,操作,成交数量,成交编号,成交均价,成交金额,余额,发生金额,手续费,印花税,其他杂费,本次金额,合同编号,备注,交易市场,
20260701,14:03:22,603019,中科曙光,证券买入,1000,74007627,102.290,102290.000,2400.00,-102301.240,10.230,0.000,1.010,-61911.580,7701,证券买入,上海A股,
20260701,13:43:22,002171,楚江新材,证券卖出,-7500,0102000077558035,13.500,101250.000,0.00,101189.240,10.130,50.630,0.000,1952.660,7529,证券卖出,深圳Ａ股,
20260701,13:08:19,000063,中兴通讯,证券买入,1000,0101000070224490,37.320,37320.000,1000.00,-37325.000,5.000,0.000,0.000,-99236.580,7173,证券买入,深圳Ａ股,
20260629,15:00:01,603019,中科曙光,证券卖出,-400,89549011,97.480,38992.000,1400.00,38967.110,5.000,19.500,0.390,-26134.400,7765,证券卖出,上海A股,
20260629,14:10:02,603019,中科曙光,证券买入,700,76216463,96.620,67634.000,1800.00,-67641.440,6.760,0.000,0.680,-65101.510,7318,证券买入,上海A股,
20260629,14:09:20,002290,禾盛新材,证券卖出,-800,0102000087891905,83.205,66564.000,0.00,66524.060,6.660,33.280,0.000,40389.660,7314,证券卖出,深圳Ａ股,
20260629,09:57:52,600522,中天科技,证券买入,800,25080159,59.947,47958.000,2800.00,-47963.480,5.000,0.000,0.480,2539.930,1531,证券买入,上海A股,
20260626,14:45:29,002171,楚江新材,证券买入,3300,0103000092193093,14.420,47586.000,7500.00,-47591.000,5.000,0.000,0.000,50503.410,7795,证券买入,深圳Ａ股,
20260626,14:27:09,002409,雅克科技,证券卖出,-300,0103000086646937,190.420,57126.000,0.00,57091.730,5.710,28.560,0.000,98094.410,7627,证券卖出,深圳Ａ股,
20260624,14:23:20,002171,楚江新材,证券买入,900,0102000083782266,15.180,13662.000,4200.00,-13667.000,5.000,0.000,0.000,41002.680,7752,证券买入,深圳Ａ股,
20260623,14:14:19,002171,楚江新材,证券卖出,-1300,0103000082542408,14.930,19409.000,3300.00,19394.290,5.000,9.710,0.000,54669.680,7542,证券卖出,深圳Ａ股,
20260623,14:14:18,000636,风华高科,证券卖出,-500,0102000080730151,70.270,35135.000,0.00,35112.430,5.000,17.570,0.000,35275.390,7541,证券卖出,深圳Ａ股,
20260623,11:24:43,600522,中天科技,证券买入,1000,55069786,62.150,62150.000,2000.00,-62156.840,6.220,0.000,0.620,25141.960,6917,证券买入,上海A股,
20260623,11:24:30,603019,中科曙光,证券卖出,-200,55015958,88.760,17752.000,1100.00,17737.940,5.000,8.880,0.180,87298.800,6914,证券卖出,上海A股,
20260623,11:24:14,603019,中科曙光,证券卖出,-200,54961201,88.790,17758.000,1300.00,17743.940,5.000,8.880,0.180,69560.860,6910,证券卖出,上海A股,
20260623,11:23:34,600522,中天科技,证券卖出,-300,54845027,62.740,18822.000,1000.00,18807.400,5.000,9.410,0.190,51816.920,6882,证券卖出,上海A股,
20260623,11:22:27,603019,中科曙光,证券买入,1000,54598145,88.870,88870.000,1500.00,-88879.790,8.890,0.000,0.900,33009.520,6828,证券买入,上海A股,
