ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
002205.SZ,20260630,10.09,12.89,13.48,9.73,12.99,-2.9,-0.2232,64485941.0,744650614.73
002205.SZ,20260529,12.99,13.52,14.6,12.51,13.38,-0.39,-0.0291,63366707.0,872061136.75
002205.SZ,20260430,13.38,13.44,13.51,12.31,13.18,0.2,0.0152,63862463.0,821725378.33
002205.SZ,20260331,13.18,14.66,15.08,12.02,14.85,-1.67,-0.1125,78142379.0,1081042729.69
002205.SZ,20260227,14.85,14.0,15.73,13.83,14.06,0.79,0.0562,68782575.0,1013755136.35
002205.SZ,20260130,14.06,13.75,14.42,13.47,13.78,0.28,0.0203,88384504.0,1228338674.43
002205.SZ,20251231,13.78,14.54,15.18,12.97,14.54,-0.76,-0.0523,154429941.0,2152498078.89
002205.SZ,20251128,14.54,14.33,18.94,13.99,14.28,0.26,0.0182,416642650.0,6696036716.49
002205.SZ,20251031,14.28,13.98,16.8,13.41,13.97,0.31,0.0222,209445801.0,3113516466.6
002205.SZ,20250930,13.97,13.5,14.8,12.45,13.49,0.48,0.0356,178510631.0,2392062707.58
002205.SZ,20250829,13.49,13.62,17.07,12.79,13.62,-0.13,-0.0095,338488565.0,4920814301.74
002205.SZ,20250731,13.62,11.52,15.52,11.03,11.5,2.12,0.1843,497611291.0,6429264764.26
002205.SZ,20250630,11.5,9.98,12.8,9.95,10.11,1.39,0.1375,154429793.0,1669098103.01
002205.SZ,20250530,10.11,9.32,10.2,9.13,9.14,0.97,0.1061,119141393.0,1161332025.95
002205.SZ,20250430,9.14,9.24,10.37,7.68,9.06,0.08,0.0088,185446449.0,1693503282.23
002205.SZ,20250331,9.06,9.16,11.38,8.91,9.36,-0.3,-0.0321,209147170.0,2087039509.11
002205.SZ,20250228,9.36,8.24,9.97,8.2,8.2,1.16,0.1415,153549003.0,1427189537.09
002205.SZ,20250127,8.2,8.77,9.1,7.45,8.91,-0.71,-0.0797,158276123.0,1303556854.25
002205.SZ,20241231,8.91,9.12,12.43,8.65,9.06,-0.15,-0.0166,470920929.0,4774701447.83
002205.SZ,20241129,9.06,9.19,10.06,8.43,9.17,-0.11,-0.012,208066551.0,1893833846.03
002205.SZ,20241031,9.17,8.69,9.5,7.66,7.9,1.27,0.1608,278981420.0,2350988999.99
002205.SZ,20240930,7.9,6.5,7.99,6.18,6.56,1.34,0.2043,215581753.0,1465024965.77
002205.SZ,20240830,6.56,6.28,6.94,5.85,6.26,0.3,0.0479,194807348.0,1259909230.05
002205.SZ,20240731,6.26,6.25,6.5,5.7,6.27,-0.01,-0.0016,91420400.0,556592958.18
002205.SZ,20240628,6.27,7.14,7.18,5.82,7.13,-0.86,-0.1206,118764014.0,755843538.07
002205.SZ,20240531,7.13,7.45,7.92,7.11,7.36,-0.23,-0.0313,66414837.0,499536417.94
002205.SZ,20240430,7.36,8.17,8.53,6.25,8.18,-0.82,-0.1002,115072435.0,831080692.39
002205.SZ,20240329,8.18,8.12,8.67,7.55,7.9,0.28,0.0354,118549099.0,961196375.58
002205.SZ,20240229,7.9,9.08,9.1,6.26,9.05,-1.15,-0.1271,137895152.0,1043982774.34
002205.SZ,20240131,9.05,10.8,11.54,8.49,10.83,-1.78,-0.1644,221739597.0,2277750689.37
002205.SZ,20231229,10.83,10.4,11.01,10.23,10.38,0.45,0.0434,138088318.0,1462293310.37
002205.SZ,20231130,10.38,10.6,11.14,10.17,10.34,0.04,0.0039,192591294.0,2036345154.35
002205.SZ,20231031,10.34,10.84,12.86,10.1,10.87,-0.53,-0.0488,219993539.0,2447448750.77
002205.SZ,20230928,10.87,10.42,10.91,10.12,10.5,0.37,0.0352,98128555.0,1036396928.61
002205.SZ,20230831,10.5,11.2,11.6,10.0,11.3,-0.8,-0.0708,202877835.0,2209039936.35
002205.SZ,20230731,11.3,10.67,11.77,10.0,10.59,0.71,0.067,184241842.0,2031178496.53
002205.SZ,20230630,10.59,10.67,10.95,9.99,10.7,-0.11,-0.0103,128614649.0,1357988275.07
002205.SZ,20230531,10.7,9.92,12.06,9.86,10.03,0.67,0.0668,233699490.0,2557140125.07
002205.SZ,20230428,10.03,11.86,12.62,9.64,11.82,-1.79,-0.1514,177926933.0,2043559676.11
002205.SZ,20230331,11.82,11.74,13.0,11.22,11.76,0.06,0.0051,365810705.0,4479900271.84
002205.SZ,20230228,11.76,11.53,12.05,11.15,11.52,0.24,0.0208,143273867.0,1669602874.3
002205.SZ,20230131,11.52,11.06,11.89,10.81,11.01,0.51,0.0463,105937544.0,1188946425.14
