ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
600528.SH,20260703,6.86,6.68,6.92,6.55,6.7,0.16,0.0239,56292787.0,377485943.0
600528.SH,20260626,6.7,6.99,7.16,6.69,7.01,-0.31,-0.0442,59768796.0,412877228.0
600528.SH,20260618,7.01,7.16,7.3,7.0,7.12,-0.11,-0.0154,56066057.0,399508265.0
600528.SH,20260612,7.12,7.16,7.22,6.9,7.25,-0.13,-0.0179,65074619.0,458170566.0
600528.SH,20260605,7.25,7.4,7.54,7.17,7.44,-0.19,-0.0255,54818531.0,403217123.0
600528.SH,20260529,7.44,7.5,7.64,7.3,7.48,-0.04,-0.0053,65464194.0,490143031.0
600528.SH,20260522,7.48,7.62,7.68,7.46,7.63,-0.15,-0.0197,59998063.0,454673076.0
600528.SH,20260515,7.63,7.99,8.0,7.6,7.97,-0.34,-0.0427,84474083.0,664412585.0
600528.SH,20260508,7.97,7.81,7.99,7.81,7.79,0.18,0.0231,51169573.0,404673342.0
600528.SH,20260430,7.79,7.78,7.87,7.69,7.78,0.01,0.0013,52392867.0,407513463.0
600528.SH,20260424,7.78,7.89,7.96,7.75,7.88,-0.1,-0.0127,76004785.0,598606279.0
600528.SH,20260417,7.88,7.93,8.08,7.86,8.03,-0.15,-0.0187,114893658.0,915287028.0
600528.SH,20260410,8.03,7.98,8.32,7.8,8.0,0.03,0.0038,163424493.0,1324507308.0
600528.SH,20260403,8.0,7.65,9.6,7.61,7.76,0.24,0.0309,568671790.0,4942233021.0
600528.SH,20260327,7.76,7.88,7.94,7.41,7.97,-0.21,-0.0263,99411719.0,765403983.0
600528.SH,20260320,7.97,8.73,8.78,7.97,8.72,-0.75,-0.086,121955319.0,1017356906.0
600528.SH,20260313,8.72,8.52,8.88,8.42,8.55,0.17,0.0199,132360399.0,1146459098.0
600528.SH,20260306,8.55,8.36,8.57,8.28,8.48,0.07,0.0083,103137973.0,870538929.0
600528.SH,20260227,8.48,8.15,8.52,8.13,8.09,0.39,0.0482,64484136.0,542066779.0
600528.SH,20260213,8.09,8.26,8.31,8.08,8.21,-0.12,-0.0146,50043331.0,411424427.0
600528.SH,20260206,8.21,8.35,8.39,8.1,8.36,-0.15,-0.0179,75848794.0,626403491.0
600528.SH,20260130,8.36,8.55,8.66,8.26,8.55,-0.19,-0.0222,115906300.0,982826268.0
600528.SH,20260123,8.55,8.39,8.58,8.32,8.41,0.14,0.0166,94683159.0,804270594.0
600528.SH,20260116,8.41,8.39,8.54,8.25,8.41,0.0,0.0,98341072.0,824204075.0
600528.SH,20260109,8.41,8.17,8.43,8.12,8.18,0.23,0.0281,79814018.0,663603446.0
600528.SH,20251231,8.18,8.15,8.3,8.13,8.15,0.03,0.0037,40158636.0,330723843.0
600528.SH,20251226,8.15,8.04,8.21,7.98,8.02,0.13,0.0162,53918501.0,435843593.0
600528.SH,20251219,8.02,7.93,8.05,7.78,7.95,0.07,0.0088,50122964.0,397314056.0
600528.SH,20251212,7.95,8.11,8.13,7.87,8.09,-0.14,-0.0173,48698278.0,388055155.0
600528.SH,20251205,8.09,8.04,8.09,7.91,8.06,0.03,0.0037,49615960.0,397509375.0
600528.SH,20251128,8.06,8.08,8.14,7.98,8.02,0.04,0.005,45411444.0,365957531.0
600528.SH,20251121,8.02,8.45,8.47,8.02,8.47,-0.45,-0.0531,75980204.0,628167031.0
