ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600936.SH,20260708,4.38,4.83,4.37,4.58,4.39,0.19,4.328,975233.65,451160.744
600936.SH,20260707,4.6,4.72,4.37,4.39,4.6,-0.21,-4.5652,517409.24,233949.718
600936.SH,20260706,4.51,4.71,4.47,4.6,4.55,0.05,1.0989,519171.24,238473.882
600936.SH,20260703,4.52,4.7,4.42,4.55,4.52,0.03,0.6637,488553.0,224569.865
600936.SH,20260702,4.5,4.67,4.45,4.52,4.42,0.1,2.2624,583331.04,266180.494
600936.SH,20260701,4.29,4.46,4.26,4.42,4.3,0.12,2.7907,396642.0,173749.831
600936.SH,20260630,4.18,4.31,4.17,4.3,4.22,0.08,1.8957,328248.0,139843.327
600936.SH,20260629,4.25,4.34,4.1,4.22,4.25,-0.03,-0.7059,397727.0,166704.126
600936.SH,20260626,4.34,4.48,4.23,4.25,4.36,-0.11,-2.5229,456632.0,198071.468
600936.SH,20260625,4.47,4.49,4.32,4.36,4.5,-0.14,-3.1111,501608.0,219687.694
600936.SH,20260624,4.66,4.73,4.42,4.5,4.68,-0.18,-3.8462,441663.47,199471.644
600936.SH,20260623,4.59,4.76,4.55,4.68,4.64,0.04,0.8621,483229.9,226052.678
600936.SH,20260622,4.6,4.65,4.4,4.64,4.62,0.02,0.4329,645543.5,292431.402
600936.SH,20260618,4.96,4.98,4.6,4.62,4.95,-0.33,-6.6667,838700.29,395939.553
600936.SH,20260617,4.88,5.01,4.76,4.95,4.95,0.0,0.0,623510.23,305960.962
600936.SH,20260616,5.04,5.1,4.9,4.95,4.92,0.03,0.6098,779630.82,388501.646
600936.SH,20260615,4.84,4.99,4.84,4.92,4.84,0.08,1.6529,611192.33,299857.379
600936.SH,20260612,4.99,5.08,4.82,4.84,4.94,-0.1,-2.0243,783332.39,386574.385
600936.SH,20260611,5.05,5.14,4.88,4.94,5.16,-0.22,-4.2636,960037.94,475940.904
600936.SH,20260610,5.46,5.76,5.05,5.16,5.51,-0.35,-6.3521,1318452.13,704676.387
600936.SH,20260609,5.7,5.81,5.41,5.51,5.58,-0.07,-1.2545,1045172.74,582150.254
600936.SH,20260608,5.7,5.87,5.5,5.58,5.98,-0.4,-6.689,1266753.59,718875.62
600936.SH,20260605,6.15,6.23,5.7,5.98,6.17,-0.19,-3.0794,1476680.9,876538.861
600936.SH,20260604,6.37,6.66,6.11,6.17,6.51,-0.34,-5.2227,2238063.27,1407163.238
600936.SH,20260603,6.1,6.51,6.0,6.51,5.92,0.59,9.9662,1975277.19,1251888.635
600936.SH,20260602,5.38,5.92,5.2,5.92,5.38,0.54,10.0372,1538627.36,870122.992
600936.SH,20260601,5.26,5.5,5.14,5.38,5.31,0.07,1.3183,828977.35,442383.954
600936.SH,20260529,5.39,5.48,5.18,5.31,5.44,-0.13,-2.3897,1051698.35,560008.278
600936.SH,20260528,5.42,5.9,5.21,5.44,5.39,0.05,0.9276,1397362.56,767507.716
600936.SH,20260527,5.8,5.87,5.32,5.39,5.86,-0.47,-8.0205,1357536.49,748809.393
600936.SH,20260526,5.93,6.11,5.71,5.86,6.12,-0.26,-4.2484,1392034.44,821548.509
600936.SH,20260525,5.78,6.25,5.69,6.12,5.78,0.34,5.8824,1895263.59,1132911.965
600936.SH,20260522,5.74,5.93,5.52,5.78,5.79,-0.01,-0.1727,2338914.69,1329742.973
600936.SH,20260521,5.02,5.79,5.02,5.79,5.26,0.53,10.076,2380662.42,1348202.069
600936.SH,20260520,5.79,5.79,5.26,5.26,5.84,-0.58,-9.9315,1215727.0,651729.45
600936.SH,20260519,5.25,5.84,5.25,5.84,5.31,0.53,9.9812,611060.6,350962.266
600936.SH,20260518,5.37,5.55,5.21,5.31,5.47,-0.16,-2.925,1010209.1,538828.147
600936.SH,20260515,5.31,5.55,5.22,5.47,5.36,0.11,2.0522,1246222.6,673637.572
600936.SH,20260514,5.37,5.9,5.35,5.36,5.37,-0.01,-0.1862,1585398.94,871850.816
600936.SH,20260513,5.12,5.5,5.1,5.37,5.15,0.22,4.2718,1695590.64,904970.962
600936.SH,20260512,5.1,5.25,5.01,5.15,5.1,0.05,0.9804,1599336.28,824505.001
600936.SH,20260511,5.34,5.69,5.07,5.1,5.17,-0.07,-1.354,2591513.84,1365482.799
600936.SH,20260508,4.96,5.17,4.85,5.17,4.7,0.47,10.0,748957.2,381400.083
600936.SH,20260507,4.3,4.7,4.28,4.7,4.27,0.43,10.0703,1007411.24,466031.001
600936.SH,20260506,4.15,4.3,4.13,4.27,4.13,0.14,3.3898,377087.0,159480.127
600936.SH,20260430,4.08,4.15,4.07,4.13,4.09,0.04,0.978,191699.0,78924.239
600936.SH,20260429,3.96,4.12,3.96,4.09,3.98,0.11,2.7638,230189.0,93783.721
600936.SH,20260428,4.01,4.02,3.92,3.98,4.02,-0.04,-0.995,117989.0,47027.643
600936.SH,20260427,3.93,4.04,3.91,4.02,3.95,0.07,1.7722,169036.65,67170.388
600936.SH,20260424,4.0,4.0,3.92,3.95,4.02,-0.07,-1.7413,144394.77,57057.925
600936.SH,20260423,4.01,4.03,3.96,4.02,4.0,0.02,0.5,136806.0,54659.478
600936.SH,20260422,4.0,4.02,3.95,4.0,4.02,-0.02,-0.4975,179543.89,71473.091
600936.SH,20260421,4.08,4.09,4.0,4.02,4.08,-0.06,-1.4706,235034.11,94903.161
600936.SH,20260420,4.19,4.19,4.02,4.08,4.18,-0.1,-2.3923,364120.0,148958.098
600936.SH,20260417,4.13,4.19,4.11,4.18,4.18,0.0,0.0,180829.89,74944.868
600936.SH,20260416,4.1,4.18,4.09,4.18,4.1,0.08,1.9512,170563.0,70705.264
600936.SH,20260415,4.22,4.22,4.08,4.1,4.19,-0.09,-2.148,193512.0,79851.183
600936.SH,20260414,4.09,4.19,4.09,4.19,4.06,0.13,3.202,227982.2,94764.379
600936.SH,20260413,4.12,4.13,4.04,4.06,4.13,-0.07,-1.6949,199168.08,81113.638
600936.SH,20260410,4.07,4.2,4.06,4.13,4.03,0.1,2.4814,286339.0,118619.154
600936.SH,20260409,4.07,4.1,4.01,4.03,4.09,-0.06,-1.467,178959.0,72470.108
600936.SH,20260408,4.07,4.11,4.04,4.09,4.0,0.09,2.25,202974.0,82799.616
600936.SH,20260407,3.93,4.03,3.87,4.0,3.93,0.07,1.7812,187428.0,74295.767
600936.SH,20260403,4.01,4.05,3.92,3.93,4.01,-0.08,-1.995,202390.98,80173.748
600936.SH,20260402,4.13,4.16,3.98,4.01,4.14,-0.13,-3.1401,407427.0,164926.365
600936.SH,20260401,4.07,4.4,4.04,4.14,4.0,0.14,3.5,824845.67,350229.792
600936.SH,20260331,3.94,4.08,3.94,4.0,3.96,0.04,1.0101,273487.0,110222.187
600936.SH,20260330,3.78,3.97,3.78,3.96,3.84,0.12,3.125,205201.27,79706.054
600936.SH,20260327,3.73,3.94,3.7,3.84,3.75,0.09,2.4,219211.35,84551.63
600936.SH,20260326,3.85,3.88,3.74,3.75,3.87,-0.12,-3.1008,181823.06,68729.768
600936.SH,20260325,3.84,3.91,3.81,3.87,3.82,0.05,1.3089,201858.29,78015.375
600936.SH,20260324,3.74,3.82,3.69,3.82,3.67,0.15,4.0872,236024.09,88686.633
600936.SH,20260323,3.89,3.89,3.64,3.67,3.92,-0.25,-6.3776,321781.02,120448.593
600936.SH,20260320,4.0,4.02,3.91,3.92,4.0,-0.08,-2.0,198350.0,78511.332
600936.SH,20260319,3.97,4.09,3.95,4.0,4.0,0.0,0.0,248439.0,99781.198
600936.SH,20260318,3.96,4.01,3.93,4.0,3.98,0.02,0.5025,125215.0,49591.16
600936.SH,20260317,4.04,4.06,3.96,3.98,4.05,-0.07,-1.7284,158763.41,63652.576
600936.SH,20260316,3.98,4.05,3.98,4.05,4.0,0.05,1.25,209567.0,84446.989
600936.SH,20260313,3.99,4.05,3.97,4.0,4.01,-0.01,-0.2494,169073.0,67867.416
600936.SH,20260312,4.0,4.05,3.97,4.01,4.0,0.01,0.25,171571.65,68784.981
600936.SH,20260311,4.02,4.04,3.97,4.0,4.02,-0.02,-0.4975,172794.65,69103.349
600936.SH,20260310,4.04,4.06,3.99,4.02,3.99,0.03,0.7519,176435.0,70822.346
600936.SH,20260309,3.97,4.0,3.92,3.99,4.02,-0.03,-0.7463,191001.0,75666.272
600936.SH,20260306,3.92,4.03,3.9,4.02,3.93,0.09,2.2901,161931.65,64724.813
600936.SH,20260305,3.93,3.97,3.9,3.93,3.85,0.08,2.0779,181361.0,71406.104
600936.SH,20260304,3.84,3.91,3.81,3.85,3.88,-0.03,-0.7732,210370.0,81048.941
600936.SH,20260303,4.02,4.07,3.86,3.88,4.06,-0.18,-4.4335,330319.39,130588.111
600936.SH,20260302,4.21,4.23,4.03,4.06,4.27,-0.21,-4.918,391209.0,160563.437
600936.SH,20260227,4.25,4.28,4.23,4.27,4.25,0.02,0.4706,171825.0,73119.72
600936.SH,20260226,4.32,4.34,4.23,4.25,4.33,-0.08,-1.8476,230927.0,98706.487
600936.SH,20260225,4.32,4.39,4.28,4.33,4.32,0.01,0.2315,211334.0,91661.572
600936.SH,20260224,4.33,4.37,4.29,4.32,4.34,-0.02,-0.4608,235485.0,101815.526
600936.SH,20260213,4.34,4.4,4.34,4.34,4.36,-0.02,-0.4587,222177.73,97013.488
600936.SH,20260212,4.48,4.5,4.34,4.36,4.5,-0.14,-3.1111,328211.0,143749.206
600936.SH,20260211,4.48,4.52,4.43,4.5,4.52,-0.02,-0.4425,294044.0,131822.538
600936.SH,20260210,4.43,4.57,4.42,4.52,4.43,0.09,2.0316,489930.0,221319.77
600936.SH,20260209,4.37,4.46,4.37,4.43,4.32,0.11,2.5463,316717.0,139917.266
600936.SH,20260206,4.27,4.37,4.21,4.32,4.28,0.04,0.9346,251506.0,108505.719
600936.SH,20260205,4.27,4.33,4.25,4.28,4.29,-0.01,-0.2331,259300.66,111513.15
600936.SH,20260204,4.3,4.34,4.23,4.29,4.3,-0.01,-0.2326,177512.62,75855.687
600936.SH,20260203,4.22,4.3,4.21,4.3,4.2,0.1,2.381,217237.44,92706.524
600936.SH,20260202,4.19,4.28,4.18,4.2,4.22,-0.02,-0.4739,196694.0,83284.059
600936.SH,20260130,4.21,4.3,4.18,4.22,4.24,-0.02,-0.4717,239958.74,101152.194
600936.SH,20260129,4.2,4.32,4.18,4.24,4.24,0.0,0.0,243097.0,103540.69
600936.SH,20260128,4.26,4.31,4.23,4.24,4.28,-0.04,-0.9346,181235.04,77152.72
600936.SH,20260127,4.31,4.34,4.19,4.28,4.32,-0.04,-0.9259,235880.0,100333.669
600936.SH,20260126,4.4,4.43,4.25,4.32,4.42,-0.1,-2.2624,369161.77,159956.126
600936.SH,20260123,4.31,4.45,4.31,4.42,4.3,0.12,2.7907,364565.36,160098.164
600936.SH,20260122,4.28,4.31,4.25,4.3,4.3,0.0,0.0,248432.84,106370.069
600936.SH,20260121,4.26,4.35,4.23,4.3,4.29,0.01,0.2331,222494.0,95771.674
600936.SH,20260120,4.33,4.36,4.26,4.29,4.36,-0.07,-1.6055,261080.0,112145.866
600936.SH,20260119,4.28,4.36,4.22,4.36,4.31,0.05,1.1601,307522.93,132456.663
600936.SH,20260116,4.45,4.5,4.26,4.31,4.46,-0.15,-3.3632,518791.18,225665.002
600936.SH,20260115,4.52,4.61,4.42,4.46,4.58,-0.12,-2.6201,511857.98,229695.733
600936.SH,20260114,4.52,4.68,4.5,4.58,4.56,0.02,0.4386,678459.72,311706.532
600936.SH,20260113,4.76,4.79,4.48,4.56,4.72,-0.16,-3.3898,636623.17,293294.792
600936.SH,20260112,4.69,4.82,4.57,4.72,4.63,0.09,1.9438,930720.53,435456.716
600936.SH,20260109,4.8,4.87,4.56,4.63,4.89,-0.26,-5.317,993279.16,463350.365
600936.SH,20260108,4.74,5.06,4.74,4.89,4.73,0.16,3.3827,1003726.54,486921.487
600936.SH,20260107,4.82,4.93,4.61,4.73,4.79,-0.06,-1.2526,1354958.54,645127.18
600936.SH,20260106,4.5,4.79,4.4,4.79,4.35,0.44,10.1149,943376.28,439516.228
600936.SH,20260105,4.21,4.35,4.16,4.35,4.22,0.13,3.0806,541466.57,231586.481
600936.SH,20251231,4.28,4.48,4.18,4.22,4.29,-0.07,-1.6317,594531.26,253895.035
600936.SH,20251230,4.31,4.39,4.27,4.29,4.39,-0.1,-2.2779,564826.0,243047.147
600936.SH,20251229,4.53,4.57,4.33,4.39,4.5,-0.11,-2.4444,920790.17,405456.562
600936.SH,20251226,4.22,4.68,4.22,4.5,4.25,0.25,5.8824,1661784.4,759866.997
600936.SH,20251225,4.45,4.48,4.23,4.25,4.37,-0.12,-2.746,675637.36,290250.289
600936.SH,20251224,4.34,4.43,4.31,4.37,4.33,0.04,0.9238,649039.97,284609.017
600936.SH,20251223,4.4,4.43,4.29,4.33,4.4,-0.07,-1.5909,895221.63,388585.566
600936.SH,20251222,4.31,4.52,4.23,4.4,4.3,0.1,2.3256,1496510.4,657625.948
600936.SH,20251219,3.89,4.3,3.85,4.3,3.91,0.39,9.9744,1128827.46,468053.409
600936.SH,20251218,3.78,4.1,3.76,3.91,3.85,0.06,1.5584,1054301.03,414998.219
600936.SH,20251217,3.76,3.98,3.73,3.85,4.07,-0.22,-5.4054,1366824.89,521987.46
600936.SH,20251216,4.8,4.8,4.07,4.07,4.52,-0.45,-9.9558,1940993.82,830750.8
600936.SH,20251215,4.18,4.52,4.18,4.52,4.11,0.41,9.9757,2472745.94,1098873.873
600936.SH,20251212,4.05,4.11,3.83,4.11,3.74,0.37,9.893,1626508.45,656881.549
600936.SH,20251211,3.66,3.74,3.66,3.74,3.4,0.34,10.0,255298.36,95372.712
600936.SH,20251210,3.41,3.42,3.38,3.4,3.41,-0.01,-0.2933,81201.0,27591.906
600936.SH,20251209,3.44,3.47,3.4,3.41,3.44,-0.03,-0.8721,98485.0,33771.549
