ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
603667.SH,20260213,206080,185009.99,198269,178061.1,204808,183753.44,210456,188926.26,99592,89434.63,100006,89735.8,29778,26725.5,31526,28200.4,56827,51061.19
603667.SH,20260212,136267,119041.35,131223,114700.25,139513,121837.09,136172,118962.09,63825,55742.23,69684,60836.59,19680,17244.93,22206,19366.68,-5686,-5067.4
603667.SH,20260211,183418,161760.52,177154,156264.5,174450,153870.03,174361,153803.11,89018,78526.47,88645,78194.42,14629,12917.52,21355,18812.51,-48942,-43096.19
603667.SH,20260210,285572,257123.84,266516,239893.1,288756,259789.04,280166,252137.87,144364,129991.58,163784,147374.1,41172,36989.37,49399,44488.75,829,1762.8
603667.SH,20260209,189556,166016.35,180401,158018.03,221491,193960.39,209788,183740.32,124561,109087.35,116464,102006.57,44001,38481.42,72956,63780.58,2497,2342.84
603667.SH,20260206,126621,103519.51,155710,128321.55,136882,112971.37,177416,147643.29,86305,71703.28,94450,78764.72,120638,102713.96,42870,36178.56,536,-1198.07
603667.SH,20260205,160053,125850.39,151954,119578.17,116060,91379.38,119368,93982.81,58367,45975.38,62899,49476.24,16233,12799.47,16492,12967.39,-53252,-41645.73
603667.SH,20260204,196354,158487.73,185136,149543.66,190845,154773.55,191629,155441.19,90759,73613.45,103809,84207.49,24596,20005.67,21981,17688.06,34669,28678.68
603667.SH,20260203,186629,147730.25,184202,145861.56,155874,123598.54,157138,124605.83,90573,71780.47,90245,71483.09,23243,18361.31,24736,19520.09,-20649,-16208.58
603667.SH,20260202,231708,182005.18,248277,195036.31,190847,150143.38,187862,147893.55,114603,90202.34,105536,83068.92,30161,23861.87,25644,20213.99,-180,-148.97
603667.SH,20260130,219766,165594.34,216213,163045.73,154572,116675.55,151528,114263.36,83526,63145.4,88686,67066.85,24859,18786.47,26296,19825.83,-36122,-27089.24
603667.SH,20260129,184526,142591.35,168089,129949.23,121199,93805.17,121551,94094.02,62864,48760.36,67790,52458.44,18719,14504.54,29878,23159.71,-37667,-28919.6
