ts_code,trade_date,close,circ_mv,total_mv,turnover_rate,pe_ttm,pb
000007.SZ,20260508,17.21,596237.0837,596237.0837,5.6093,,33.2921
000528.SZ,20260706,8.27,1682526.2899,1684867.1961,1.7493,10.8137,0.8855
000547.SZ,20260113,36.0,5720835.8232,5754485.7684,18.2438,,12.241
000759.SZ,20251224,8.79,576365.596,582305.4956,37.376,,4.8053
000811.SZ,20260508,26.28,2571223.8497,2608232.1446,4.3792,44.3672,3.9925
001283.SZ,20260706,49.88,515753.7132,646844.3388,3.8648,30.6086,1.8166
002025.SZ,20260708,86.3,3916909.319,3918190.874,8.1662,207.842,5.8864
002036.SZ,20260525,10.32,1089242.7438,1091441.1938,20.7279,,11.3071
002171.SZ,20260622,16.43,2651377.2845,2666486.9697,14.3573,68.0895,2.9938
002190.SZ,20260513,33.85,1214298.8261,1214298.8261,8.9475,,2.7928
002202.SZ,20260109,31.94,10745195.9697,13494866.0645,16.7438,50.872,3.5138
002205.SZ,20260706,11.02,204799.2064,204799.2064,3.0197,,7.9823
002290.SZ,20260622,87.13,2153819.6193,2161803.3412,4.9095,138.9995,21.3802
002409.SZ,20260622,165.18,5261357.9586,7861372.0968,10.9033,78.0878,9.704
002873.SZ,20260408,11.32,271329.7003,276325.5084,30.2247,303.272,2.1996
300689.SZ,20260702,68.28,690872.0616,789316.8,3.0562,1134.8619,11.3991
300689.SZ,20260702,68.28,690872.0616,789316.8,3.0562,1134.8619,11.3991
300723.SZ,20260702,39.68,1663341.1584,1792317.0304,5.8554,89.6191,9.2593
600338.SH,20260506,26.48,2420828.5249,2420828.5249,17.0431,42.7809,5.3594
600522.SH,20260701,55.42,18914567.2374,18914567.2374,10.4759,59.2258,4.9758
600528.SH,20260331,9.17,2037162.8062,2037162.8062,6.7049,14.9047,0.8084
600552.SH,20260416,13.65,1289388.4103,1289388.4103,4.3563,100.2101,3.0331
600637.SH,20260525,11.44,3846013.3906,3846013.3906,3.7716,68.8902,1.2845
600693.SH,20260113,18.91,1643189.7108,1644879.2512,20.0741,356.9358,4.655
600759.SH,20260306,8.24,3414397.0827,3418783.6467,23.5763,82.3637,3.8891
600759.SH,20260305,8.7,3605006.6286,3609638.0736,35.5303,86.9617,4.1062
600938.SH,20260302,39.46,11798540.0,187553198.4209,5.9288,15.2175,2.4878
601138.SH,20260115,60.79,120717972.1527,120717972.1527,0.7182,39.4991,7.4735
603019.SH,20260623,87.06,12737350.7358,12737885.2842,3.6732,57.4383,5.6473
603259.SH,20260708,115.4,28541653.508,34432558.088,2.0615,17.105,4.0883
603538.SH,20260323,26.76,578540.1856,589924.6389,21.455,59.2999,2.6262
603667.SH,20260122,90.83,3326219.7599,3326219.7599,16.496,363.0448,11.1518
603688.SH,20260422,54.34,2943479.8224,2943479.8224,5.6654,191.9676,5.0596
603703.SH,20260708,9.76,405022.5296,405022.5296,2.0093,,4.9007
688122.SH,20260701,60.32,3918776.264,3918776.264,4.3044,54.9531,5.462
