account,code,name,open_date,close_date,hold_days,buy_price,sell_price,pnl_net,pnl_pct,t0_close_pct,max_float_gain,max_float_loss,n_buys_in_rt,gave_back_pct,scenario
账户1,000099,中信海直,2025-09-02,2025-10-21,49.0,24.21,21.77,-1235.67,-10.08,-0.28913672036349203,2.189178025609251,-11.565468814539448,1,12.26917802560925,G. 其他亏损
账户1,000547,航天发展,2026-01-13,2026-01-14,1.0,36.47,34.32,-1754.33,-5.9,-1.2887304633945718,4.743624897175769,-11.159857417055118,2,10.64362489717577,E. 买了就跌 → 割肉
账户1,000547,航天发展,2026-01-13,2026-01-14,1.0,36.8,34.32,-1513.83,-6.74,-2.1739130434782483,3.8043478260869623,-11.956521739130432,2,10.544347826086963,E. 买了就跌 → 割肉
账户1,000559,万向钱潮,2026-01-22,2026-01-28,6.0,19.967,17.7,-2976.43,-11.35,-1.4373716632443467,4.372214153353049,-12.305303751189445,1,15.722214153353049,D. 买了就跌 → 死扛到大亏
账户1,000592,平潭发展,2025-11-24,2025-12-17,23.0,9.85,14.01,820.55,42.23,-1.624365482233503,62.1319796954315,-8.324873096446705,1,19.9019796954315,F. 其他盈利
账户1,000592,平潭发展,2026-05-08,2026-05-11,3.0,11.43,11.48,211.92,0.44,0.08748906386701893,5.336832895888,-2.012248468941391,1,4.896832895887999,F. 其他盈利
账户1,000630,铜陵有色,2026-03-16,2026-03-17,1.0,6.53,6.76,776.22,3.52,1.8376722817764257,5.053598774885137,-1.071975497702915,1,1.5335987748851374,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,000737,北方铜业,2026-02-03,2026-02-27,24.0,17.19,17.87,1843.23,3.96,4.653868528214056,9.831297265852236,-9.249563699825492,2,5.8712972658522355,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,000737,北方铜业,2026-02-05,2026-02-27,22.0,16.4,17.87,144.86,8.96,0.6097560975609762,10.2439024390244,-4.8780487804877986,1,1.2839024390243985,F. 其他盈利
账户1,000737,北方铜业,2026-02-05,2026-03-02,25.0,16.4,17.77,4046.0,8.35,0.6097560975609762,15.243902439024382,-4.8780487804877986,1,6.893902439024382,F. 其他盈利
账户1,000759,中百集团,2025-12-24,2025-12-29,5.0,9.09,8.11,-3069.99,-10.78,-3.300330033003307,4.510451045104502,-11.441144114411427,1,15.2904510451045,D. 买了就跌 → 死扛到大亏
账户1,000762,西藏矿业,2026-04-02,2026-04-03,1.0,31.26,31.26,-53.76,0.0,0.0,2.847088931541908,-10.812539987204106,1,2.847088931541908,G. 其他亏损
账户1,000762,西藏矿业,2026-04-02,2026-04-03,1.0,31.26,30.51,-1102.85,-2.4,0.0,2.847088931541908,-10.812539987204106,1,5.247088931541908,G. 其他亏损
账户1,000777,中核科技,2026-03-13,2026-03-17,4.0,26.79,26.17,-73.37,-2.31,0.18663680477790656,1.4930944382232303,-7.876073161627472,1,3.8030944382232303,G. 其他亏损
账户1,000831,中国稀土,2025-09-01,2025-09-02,1.0,57.34,62.51,1017.51,9.02,3.104290198814086,10.010463899546561,-2.1102197418904844,1,0.9904638995465618,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,000831,中国稀土,2025-09-03,2025-10-13,40.0,56.51,58.87,686.56,4.18,1.1679348787825283,8.246328083525057,-15.165457441160857,4,4.0663280835250575,C. 买了就涨 → 落袋(部分利润 · 或最大浮盈的一部分)
账户1,000831,中国稀土,2025-09-04,2025-10-13,39.0,52.82,58.87,2391.96,11.45,-1.8553578190079412,13.858386974630822,-9.238924649753887,3,2.4083869746308224,F. 其他盈利
