date,time,code,name,action,qty,price,amount,fee,tax,other_fee,account,cost,side
2025-08-15,13:35:31,002736,国信证券,证券卖出,2300,14.303,32896.0,95.77,16.45,2.11,账户1,114.33,S
2025-08-15,13:36:42,002614,奥佳华,证券卖出,3800,6.92,26296.0,76.55,13.15,1.69,账户1,91.39,S
2025-08-20,13:00:00,002049,紫光国微,证券买入,200,79.64,15928.0,46.37,0.0,1.02,账户1,47.39,B
2025-08-21,14:14:42,002456,欧菲光,证券买入,1600,12.71,20336.0,59.2,0.0,1.3,账户1,60.5,B
2025-08-21,14:23:47,002456,欧菲光,证券买入,1600,12.7,20320.0,59.16,0.0,1.3,账户1,60.459999999999994,B
2025-08-22,14:37:11,002456,欧菲光,证券卖出,3200,13.22,42304.0,123.15,21.15,2.72,账户1,147.02,S
2025-08-22,14:38:07,002049,紫光国微,证券卖出,200,82.64,16528.0,48.11,8.26,1.06,账户1,57.43,S
2025-09-01,09:30:49,603259,药明康德,证券买入,100,103.23,10323.0,4.44,0.0,0.66,账户1,5.1000000000000005,B
2025-09-01,09:32:11,000831,中国稀土,证券买入,200,57.34,11468.0,4.38,0.0,0.73,账户1,5.109999999999999,B
2025-09-01,10:26:09,600580,卧龙电驱,证券买入,600,33.0,19800.0,5.94,0.0,1.28,账户1,7.220000000000001,B
2025-09-02,09:50:16,600580,卧龙电驱,证券买入,600,32.52,19512.0,5.85,0.0,1.26,账户1,7.109999999999999,B
2025-09-02,09:50:19,600391,航发科技,证券买入,300,30.5,9150.0,4.51,0.0,0.58,账户1,5.09,B
2025-09-02,09:51:17,000099,中信海直,证券买入,500,24.21,12105.0,4.35,0.0,0.77,账户1,5.119999999999999,B
2025-09-02,10:00:51,600580,卧龙电驱,证券买入,300,32.0,9600.0,4.48,0.0,0.62,账户1,5.1000000000000005,B
2025-09-02,11:07:30,000831,中国稀土,证券卖出,200,62.51,12502.0,4.32,6.25,0.81,账户1,11.38,S
