code,name,open_date,close_date,hold_days,qty,buy_price,sell_price,pnl_gross,cost,pnl_net,pnl_pct
000007,全新好,2026-05-08,2026-05-13,5,700,17.17,13.45,-2604.0,12.21,-2616.21,-21.67
000007,全新好,2026-05-08,2026-05-13,5,700,17.17,13.45,-2604.0,12.21,-2616.21,-21.67
000063,中兴通讯,2026-05-11,2026-05-13,2,100,39.13,38.47,-66.0,11.92,-77.92,-1.69
000628,高新发展,2026-05-11,2026-05-18,7,100,64.14,62.27,-187.0,13.11,-200.11,-2.92
000636,风华高科,2026-06-17,2026-06-23,6,200,71.89,70.27,-324.0,14.03,-338.03,-2.25
000636,风华高科,2026-06-18,2026-06-23,5,300,73.62,70.27,-1005.0,18.54,-1023.54,-4.55
000811,冰轮环境,2026-05-08,2026-05-25,17,400,25.98,35.15,3668.0,17.03,3650.97,35.3
001896,豫能控股,2026-05-11,2026-06-04,24,400,16.85,21.7,1940.0,14.35,1925.65,28.78
002079,苏州固锝,2026-06-16,2026-06-17,1,300,12.577,13.2,186.9,8.34,178.56,4.95
002079,苏州固锝,2026-06-16,2026-06-17,1,800,12.577,13.19,490.4,13.92,476.48,4.87
002079,苏州固锝,2026-06-17,2026-06-18,1,200,13.15,13.72,114.0,11.37,102.63,4.33
002080,中材科技,2026-05-11,2026-05-18,7,100,63.3,65.35,205.0,13.27,191.73,3.24
002135,东南网架,2026-05-11,2026-05-12,1,300,9.35,9.22,-39.0,11.38,-50.38,-1.39
002156,通富微电,2026-06-16,2026-06-17,1,200,63.0,65.65,530.0,16.57,513.43,4.21
002171,楚江新材,2026-06-15,2026-06-16,1,900,13.82,14.24,378.0,12.86,365.14,3.04
002171,楚江新材,2026-06-15,2026-06-17,2,800,13.82,14.41,472.0,12.05,459.95,4.27
002171,楚江新材,2026-06-15,2026-06-17,2,300,13.82,14.99,351.0,7.73,343.27,8.47
002171,楚江新材,2026-06-15,2026-06-18,3,600,13.82,14.84,612.0,10.42,601.58,7.38
002171,楚江新材,2026-06-15,2026-06-18,3,300,13.82,15.12,390.0,7.75,382.25,9.41
002171,楚江新材,2026-06-15,2026-06-18,3,200,13.82,15.5,336.0,2.59,333.41,12.16
002171,楚江新材,2026-06-16,2026-06-18,2,600,14.28,15.5,732.0,11.8,720.2,8.54
002171,楚江新材,2026-06-17,2026-06-18,1,600,14.4,15.5,660.0,11.8,648.2,7.64
002171,楚江新材,2026-06-18,2026-06-22,4,400,15.49,15.72,92.0,9.57,82.43,1.48
002171,楚江新材,2026-06-18,2026-06-22,4,100,15.49,16.09,60.0,6.16,53.84,3.87
002171,楚江新材,2026-06-18,2026-06-23,5,900,15.49,14.93,-504.0,13.4,-517.4,-3.62
002171,楚江新材,2026-06-22,2026-06-23,1,300,15.71,14.93,-234.0,8.39,-242.39,-4.96
