ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share,begin_date,close_date
600189.SH,20260814,中国吉林森林工业集团有限责任公司,C,IN,800000.0,0.1119,219084380.0,30.6327,None,219084380.0,20260514,20260813
002655.SZ,20260814,上海韦豪创芯投资管理有限公司,C,IN,21100.0,0.0058,34153400.0,9.3863,None,34153400.0,20260813,20260813
600177.SH,20260814,宁波雅戈尔控股有限公司,C,IN,45662794.0,1.014,1861027499.0,41.3246,None,1861027499.0,20260610,20260813
002109.SZ,20260814,陕西兴化集团有限责任公司,C,IN,3875300.0,0.3036,236487389.0,18.5296,2.9121,236487389.0,20260522,20260812
301429.SZ,20260814,王斌,G,IN,25400.0,0.0577,62600.0,0.1422,None,11588400.0,20260710,20260813
301429.SZ,20260814,张勇,G,IN,30700.0,0.0697,57300.0,0.1302,None,11583100.0,20260710,20260813
301429.SZ,20260814,唐道远,G,IN,151300.0,0.3437,350300.0,0.7958,None,42020500.0,20260710,20260813
688488.SH,20260814,傅和亮,G,IN,730052.0,0.1735,3480977.0,0.8273,15.4848,3480977.0,20260304,20260731
603520.SH,20260814,胡思慧,P,IN,6883035.0,1.57,6883035.0,1.57,None,6883035.0,20260629,20260812
002655.SZ,20260813,上海韦豪创芯投资管理有限公司,C,IN,1857500.0,0.5105,34132300.0,9.3805,None,34132300.0,20260811,20260811
000009.SZ,20260813,深圳市承兴投资有限公司,C,IN,23607594.0,0.9164,580799860.0,22.5464,None,580799860.0,20260810,20260812
600340.SH,20260812,王文学,G,IN,989300.0,0.0254,None,None,None,None,20260519,20260811
600340.SH,20260812,赵威,G,IN,765100.0,0.0197,None,None,None,None,20260519,20260811
600340.SH,20260812,钟坚,G,IN,156000.0,0.004,None,None,None,None,20260519,20260811
600340.SH,20260812,陈怀洲,G,IN,511000.0,0.0131,None,None,None,None,20260519,20260811
600340.SH,20260812,黎毓珊,G,IN,2200.0,0.0001,None,None,None,None,20260519,20260811
600340.SH,20260812,庄永,G,IN,9500.0,0.0002,None,None,None,None,20260519,20260811
601916.SH,20260812,浙江省海港投资运营集团有限公司,C,IN,271000000.0,1.2579,271000000.0,0.9867,None,271000000.0,20260309,20260810
000656.SZ,20260812,郭伟,G,IN,871200.0,0.0115,1382300.0,0.0182,None,1382300.0,20260722,20260811
603328.SH,20260812,四川九洲投资控股集团有限公司,C,IN,6684500.0,0.6695,309517295.0,31.0,None,309517295.0,20260811,20260811
601600.SH,20260812,中国铝业集团有限公司及其一致行动人,C,IN,47600702.0,0.3605,None,None,None,None,20260720,20260811
002192.SZ,20260812,张长虹,P,IN,287813.0,0.1111,4616338.0,1.7816,None,4616338.0,20260727,20260730
002192.SZ,20260812,计阳配偶,P,IN,3800.0,0.0015,None,None,None,None,20260713,20260713
002655.SZ,20260812,上海韦豪创芯投资管理有限公司,C,IN,4667500.0,1.2828,32274800.0,8.87,None,32274800.0,20260810,20260810
002655.SZ,20260812,上海韦豪创芯投资管理有限公司,C,IN,767700.0,0.211,27607300.0,7.5873,None,27607300.0,20260807,20260807
603328.SH,20260811,四川九洲投资控股集团有限公司,C,IN,3299976.0,0.3305,302832795.0,30.3305,11.4675,302832795.0,20260810,20260810
002870.SZ,20260811,宁波均胜电子股份有限公司,C,IN,140000.0,0.1094,39621600.0,30.9729,28.9148,39621600.0,20250408,20250408
600197.SH,20260811,新疆伊力特集团有限公司,C,IN,4378200.0,0.9253,208427627.0,44.0488,None,208427627.0,20260721,20260807
002024.SZ,20260808,黄巍,G,IN,121000.0,0.0013,None,None,1.2397,326700.0,20260527,20260807
002024.SZ,20260808,周斌,G,IN,162700.0,0.0018,None,None,1.2299,419700.0,20260527,20260807
688692.SH,20260808,中电金投控股有限公司,C,IN,2217000.0,2.9893,4481758.0,6.043,None,9115700.0,20260806,20260806
000009.SZ,20260808,深圳市承兴投资有限公司,C,IN,21921200.0,0.851,557192266.0,21.63,None,557192266.0,20260803,20260807
600328.SH,20260808,王以飞,G,IN,21300.0,0.0015,None,None,None,49040.0,20260521,20260807
600328.SH,20260808,刘伟国,G,IN,19000.0,0.0013,None,None,None,98684.0,20260525,20260803
600328.SH,20260808,程序,G,IN,18000.0,0.0012,None,None,None,66526.0,20260515,20260515
600328.SH,20260808,许明,G,IN,13500.0,0.0009,None,None,None,67763.0,20260519,20260605
600328.SH,20260808,赵生强,G,IN,14200.0,0.001,None,None,None,58740.0,20260518,20260527
