ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
301429.SZ,20260713,唐道远,G,IN,199000.0,0.4521,199000.0,0.4521,,41869200.0
301429.SZ,20260713,张勇,G,IN,26600.0,0.0604,26600.0,0.0604,,11552400.0
301429.SZ,20260713,王斌,G,IN,37200.0,0.0845,37200.0,0.0845,,11563000.0
301032.SZ,20260713,王玲玲,P,IN,952400.0,0.5957,952400.0,0.5957,,952400.0
300304.SZ,20260713,张晶,G,IN,1000.0,0.0001,366000.0,0.0428,14.84,366000.0
300304.SZ,20260713,付红玲,G,IN,711200.0,0.0832,,,12.58,7185000.0
300513.SZ,20260713,新基信息技术集团股份有限公司,C,IN,1590000.0,0.5534,10279800.0,3.5782,,10279800.0
301429.SZ,20260713,唐道远,G,IN,199000.0,0.4521,199000.0,0.4521,,41869200.0
301429.SZ,20260713,张勇,G,IN,26600.0,0.0604,26600.0,0.0604,,11552400.0
301429.SZ,20260713,王斌,G,IN,37200.0,0.0845,37200.0,0.0845,,11563000.0
301032.SZ,20260713,王玲玲,P,IN,952400.0,0.5957,952400.0,0.5957,,952400.0
300304.SZ,20260713,张晶,G,IN,1000.0,0.0001,366000.0,0.0428,14.84,366000.0
300304.SZ,20260713,付红玲,G,IN,711200.0,0.0832,,,12.58,7185000.0
300513.SZ,20260713,新基信息技术集团股份有限公司,C,IN,1590000.0,0.5534,10279800.0,3.5782,,10279800.0
301429.SZ,20260713,唐道远,G,IN,199000.0,0.4521,199000.0,0.4521,,41869200.0
301429.SZ,20260713,张勇,G,IN,26600.0,0.0604,26600.0,0.0604,,11552400.0
301429.SZ,20260713,王斌,G,IN,37200.0,0.0845,37200.0,0.0845,,11563000.0
301032.SZ,20260713,王玲玲,P,IN,952400.0,0.5957,952400.0,0.5957,,952400.0
300304.SZ,20260713,张晶,G,IN,1000.0,0.0001,366000.0,0.0428,14.84,366000.0
300304.SZ,20260713,付红玲,G,IN,711200.0,0.0832,,,12.58,7185000.0
300513.SZ,20260713,新基信息技术集团股份有限公司,C,IN,1590000.0,0.5534,10279800.0,3.5782,,10279800.0
603358.SH,20260714,张耀坤,P,IN,1959708.0,0.4244,36325206.0,7.4421,,36325206.0
000402.SZ,20260714,和谐健康保险股份有限公司,C,IN,36336400.0,1.2158,412003001.0,13.7856,,412003001.0
300639.SZ,20260714,王建瑜,G,IN,664000.0,0.1045,9298446.0,1.4639,4.99,17501782.0
603358.SH,20260714,张耀坤,P,IN,350000.0,0.0758,34715498.0,7.5179,,34715498.0
603358.SH,20260714,张耀坤,P,IN,350000.0,0.0758,34715498.0,7.5179,,34715498.0
300639.SZ,20260714,王建瑜,G,IN,664000.0,0.1045,9298446.0,1.4639,4.99,17501782.0
603358.SH,20260714,张耀坤,P,IN,350000.0,0.0758,34715498.0,7.5179,,34715498.0
300639.SZ,20260714,王建瑜,G,IN,664000.0,0.1045,9298446.0,1.4639,4.99,17501782.0
600703.SH,20260715,林志强,G,IN,750000.0,0.015,1750000.0,0.0351,14.9536,1750000.0
601882.SH,20260715,宁波海天股份有限公司,C,IN,1338800.0,0.2565,203324800.0,38.9511,18.42,203324800.0
603337.SH,20260715,胡彩芳,G,IN,276000.0,0.0583,19338941.0,4.0823,,19338941.0
002083.SZ,20260715,高密安信投资管理股份有限公司,C,IN,1947110.0,0.3236,104130264.0,11.0037,,104130264.0
002072.SZ,20260715,陕西旭强瑞清洁能源集团有限公司,C,IN,1002600.0,0.2728,22457200.0,6.1103,,22457200.0
002072.SZ,20260715,王文选,P,IN,58000.0,0.0158,58000.0,0.0158,,58000.0
002655.SZ,20260715,上海韦豪创芯投资管理有限公司,C,IN,2473800.0,0.6799,26531000.0,7.2915,,26531000.0
300151.SZ,20260715,刘力,G,IN,120000.0,0.0325,,,18.73,620000.0
603656.SH,20260715,阳光新能源开发股份有限公司,C,IN,1868400.0,1.0213,45924126.0,25.1026,,45924126.0
002146.SZ,20260715,王晓辉,G,IN,100100.0,0.0026,100100.0,0.0026,,100100.0
002146.SZ,20260715,隆小康,G,IN,1150000.0,0.0294,1150000.0,0.0294,,1150000.0
002146.SZ,20260715,邹家立,G,IN,1630000.0,0.0417,23820000.0,0.609,,23820000.0
002146.SZ,20260715,王冰,G,IN,1376000.0,0.0352,1376000.0,0.0352,,1376000.0
601882.SH,20260715,宁波海天股份有限公司,C,IN,1338800.0,0.2565,203324800.0,38.9511,18.42,203324800.0
300929.SZ,20260715,王根九,P,IN,3657600.0,2.9177,9178660.0,7.3218,,9178660.0
300929.SZ,20260715,王凤仙,P,IN,544500.0,0.4343,2220800.0,1.7715,,2220800.0
300929.SZ,20260715,王健业,P,IN,1257611.0,1.0032,3591101.0,2.8646,,3591101.0
300151.SZ,20260715,刘力,G,IN,120000.0,0.0325,,,18.73,620000.0
600703.SH,20260715,林志强,G,IN,750000.0,0.015,1750000.0,0.0351,14.9536,1750000.0
002083.SZ,20260715,高密安信投资管理股份有限公司,C,IN,1947110.0,0.3236,104130264.0,11.0037,,104130264.0
002072.SZ,20260715,陕西旭强瑞清洁能源集团有限公司,C,IN,1002600.0,0.2728,22457200.0,6.1103,,22457200.0
002072.SZ,20260715,王文选,P,IN,58000.0,0.0158,58000.0,0.0158,,58000.0
002655.SZ,20260715,上海韦豪创芯投资管理有限公司,C,IN,2473800.0,0.6799,26531000.0,7.2915,,26531000.0
300151.SZ,20260715,刘力,G,IN,120000.0,0.0325,,,18.73,620000.0
603656.SH,20260715,阳光新能源开发股份有限公司,C,IN,1868400.0,1.0213,45924126.0,25.1026,,45924126.0
002146.SZ,20260715,王晓辉,G,IN,100100.0,0.0026,100100.0,0.0026,,100100.0
002146.SZ,20260715,隆小康,G,IN,1150000.0,0.0294,1150000.0,0.0294,,1150000.0
002146.SZ,20260715,邹家立,G,IN,1630000.0,0.0417,23820000.0,0.609,,23820000.0
002146.SZ,20260715,王冰,G,IN,1376000.0,0.0352,1376000.0,0.0352,,1376000.0
600703.SH,20260715,林志强,G,IN,750000.0,0.015,1750000.0,0.0351,14.9536,1750000.0
601882.SH,20260715,宁波海天股份有限公司,C,IN,1338800.0,0.2565,203324800.0,38.9511,18.42,203324800.0
603337.SH,20260715,胡彩芳,G,IN,276000.0,0.0583,19338941.0,4.0823,,19338941.0
300929.SZ,20260715,王根九,P,IN,3657600.0,2.9177,9178660.0,7.3218,,9178660.0
300929.SZ,20260715,王凤仙,P,IN,544500.0,0.4343,2220800.0,1.7715,,2220800.0
300929.SZ,20260715,王健业,P,IN,1257611.0,1.0032,3591101.0,2.8646,,3591101.0
002083.SZ,20260715,高密安信投资管理股份有限公司,C,IN,1947110.0,0.3236,104130264.0,11.0037,,104130264.0
002072.SZ,20260715,陕西旭强瑞清洁能源集团有限公司,C,IN,1002600.0,0.2728,22457200.0,6.1103,,22457200.0
002072.SZ,20260715,王文选,P,IN,58000.0,0.0158,58000.0,0.0158,,58000.0
002655.SZ,20260715,上海韦豪创芯投资管理有限公司,C,IN,2473800.0,0.6799,26531000.0,7.2915,,26531000.0
300151.SZ,20260715,刘力,G,IN,120000.0,0.0325,,,18.73,620000.0
603656.SH,20260715,阳光新能源开发股份有限公司,C,IN,1868400.0,1.0213,45924126.0,25.1026,,45924126.0
002146.SZ,20260715,王晓辉,G,IN,100100.0,0.0026,100100.0,0.0026,,100100.0
002146.SZ,20260715,隆小康,G,IN,1150000.0,0.0294,1150000.0,0.0294,,1150000.0
002146.SZ,20260715,邹家立,G,IN,1630000.0,0.0417,23820000.0,0.609,,23820000.0
002146.SZ,20260715,王冰,G,IN,1376000.0,0.0352,1376000.0,0.0352,,1376000.0
600703.SH,20260715,林志强,G,IN,750000.0,0.015,1750000.0,0.0351,14.9536,1750000.0
601882.SH,20260715,宁波海天股份有限公司,C,IN,1338800.0,0.2565,203324800.0,38.9511,18.42,203324800.0
603337.SH,20260715,胡彩芳,G,IN,276000.0,0.0583,19338941.0,4.0823,,19338941.0
300929.SZ,20260715,王根九,P,IN,3657600.0,2.9177,9178660.0,7.3218,,9178660.0
300929.SZ,20260715,王凤仙,P,IN,544500.0,0.4343,2220800.0,1.7715,,2220800.0
300929.SZ,20260715,王健业,P,IN,1257611.0,1.0032,3591101.0,2.8646,,3591101.0
002079.SZ,20260716,苏州通博电子器材有限公司,C,IN,2016900.0,0.2487,191367855.0,23.5985,,191367855.0
002079.SZ,20260716,苏州通博电子器材有限公司,C,IN,2016900.0,0.2487,191367855.0,23.5983,,191367855.0
300907.SZ,20260716,海南康平控股集团有限公司,C,IN,1440000.0,1.5,42060000.0,43.8125,,42060000.0
300907.SZ,20260716,海南康平控股集团有限公司,C,IN,1440000.0,1.5,42060000.0,43.8125,,42060000.0
002079.SZ,20260716,苏州通博电子器材有限公司,C,IN,2016900.0,0.2487,191367855.0,23.5983,,191367855.0
300907.SZ,20260716,海南康平控股集团有限公司,C,IN,1440000.0,1.5,42060000.0,43.8125,,42060000.0
002079.SZ,20260716,苏州通博电子器材有限公司,C,IN,2016900.0,0.2487,191367855.0,23.5983,,191367855.0
002568.SZ,20260717,刘晓东,G,IN,1208900.0,0.1586,92980226.0,11.8831,,364921602.0
002318.SZ,20260717,湖州一亩田企业管理有限公司,C,IN,629100.0,0.0659,1829100.0,0.1916,17.477,1829100.0
603949.SH,20260717,贺财霖,G,IN,4214724.0,2.0051,25701360.0,12.2268,,25701360.0
