ts_code,ann_date,holder_name,holder_type,in_de,change_vol,change_ratio,after_share,after_ratio,avg_price,total_share
688156.SH,20260828,武汉德天众享企业管理合伙企业(有限合伙),C,DE,1500000.0,1.4894,0.0,,25.0466,0.0
600883.SH,20260828,上海德朋实业有限公司,C,DE,5300.0,0.0022,11799120.0,4.9978,,11799120.0
002723.SZ,20260828,李晓冬,G,DE,99000.0,0.0312,400.0,0.0001,8.5,400400.0
002723.SZ,20260828,梁惠玲,G,DE,140800.0,0.0444,0.0,,9.08,500250.0
002723.SZ,20260828,孟繁熙,G,DE,345800.0,0.1091,0.0,,8.9,1038175.0
920189.BJ,20260828,北京中科光荣绿色创业投资中心(有限合伙),C,DE,230530.0,0.2716,2269470.0,2.6741,,2269470.0
920189.BJ,20260828,北京光荣联盟半导体照明产业投资中心(有限合伙),C,DE,399066.0,0.4702,4800934.0,5.657,,4800934.0
688252.SH,20260828,宁波群志光电有限公司,C,DE,4300743.0,1.0515,24209562.0,5.9189,,24209562.0
688038.SH,20260828,武汉光谷成长创业投资基金有限公司,C,DE,1048900.0,0.9013,8951100.0,7.6917,,8951100.0
002697.SZ,20260828,永辉超市股份有限公司,C,DE,5000000.0,0.4366,81948800.0,7.155,4.97,81948800.0
002939.SZ,20260828,深圳新江南投资有限公司,C,DE,33077500.0,0.9181,448731700.0,12.4556,,448731700.0
688328.SH,20260828,黄奕奋,P,DE,472281.0,0.5,6632703.0,7.022,,6632703.0
688328.SH,20260828,黄奕宏,G,DE,491014.0,0.5198,12838702.0,13.5922,,12838702.0
688328.SH,20260828,舟山深科达股权投资有限公司,C,DE,421140.0,0.4459,4570860.0,4.8391,,4570860.0
920284.BJ,20260828,杭一,G,DE,420102.0,0.6265,1292267.0,1.927,21.157,8899864.0
002795.SZ,20260828,颜燕晶,P,DE,2518700.0,0.5804,22081300.0,5.0881,,22081300.0
300102.SZ,20260828,深圳和君正德资产管理有限公司-正德远盛产业创新结构化私募基金,C,DE,2200000.0,0.2403,55036400.0,6.0103,,55036400.0
300102.SZ,20260828,深圳和君正德资产管理有限公司-正德鑫盛一号投资私募基金,C,DE,14110400.0,1.5409,876400.0,0.0957,,876400.0
688156.SH,20260828,吴军,G,DE,22400.0,0.0222,,,25.1223,168000.0
688156.SH,20260828,刘菁,G,DE,10000.0,0.0099,,,21.1882,30000.0
688156.SH,20260828,武汉德天众享企业管理合伙企业(有限合伙),C,DE,1500000.0,1.4894,0.0,,25.0466,0.0
603025.SH,20260828,郑建军,G,DE,5496500.0,0.4955,133964922.0,12.0779,,133964922.0
603312.SH,20260828,PAN SHU XIN,G,IN,641900.0,1.2606,1152700.0,2.2638,31.1466,44784700.0
603312.SH,20260828,SHENG JIAN HUA,G,IN,20400.0,0.0401,1149000.0,2.2565,29.8216,55689000.0
002825.SZ,20260828,游景超,P,IN,100100.0,0.0388,1326800.0,0.5146,,1326800.0
603256.SH,20260828,SHARP TONE INTERNATIONAL LIMITED,C,DE,1745600.0,0.1984,17823611.0,2.026,,17823611.0
603256.SH,20260828,UNICORN ACE LIMITED,C,DE,4862200.0,0.5527,21628920.0,2.4586,,21628920.0
300512.SZ,20260828,宋蕾,P,DE,60000.0,0.0184,312666.0,0.0958,7.4,1430665.0
600259.SH,20260828,广东省稀土产业集团有限公司,C,DE,100000.0,0.0297,65341282.0,19.4216,,65341282.0
688549.SH,20260828,衢州恒芯企业管理合伙企业(有限合伙),C,IN,852381.0,0.1446,1803538.0,0.306,,109760538.0
300411.SZ,20260827,方正证券-西藏信托-浦顺5号集合资金信托计划-方正证券赢策316号定向资产管理计划,C,DE,4065200.0,1.3151,10383600.0,3.3591,8.93,10383600.0
300277.SZ,20260827,赵家茂,G,DE,76000.0,0.0099,2000.0,0.0003,13.2,236000.0
300836.SZ,20260827,庄华锋,G,DE,146000.0,0.2301,965566.0,1.5217,77.01,4300262.0
300601.SZ,20260827,刘建凯,G,DE,444000.0,0.0493,2931.0,0.0003,12.97,1343723.0
300411.SZ,20260827,方正证券-西藏信托-浦顺5号集合资金信托计划-方正证券赢策316号定向资产管理计划,C,DE,4065200.0,1.3151,10383600.0,3.3591,8.93,10383600.0
002049.SZ,20260827,丁芝永,G,IN,1800.0,0.0002,1800.0,0.0002,,1800.0
002049.SZ,20260827,佟晓丹,G,IN,20000.0,0.0024,20000.0,0.0024,,20000.0
002049.SZ,20260827,杨秋平,G,IN,3600.0,0.0004,3600.0,0.0004,,3600.0
002049.SZ,20260827,翟应斌,G,IN,4000.0,0.0005,4000.0,0.0005,,4000.0
002049.SZ,20260827,邬睿,G,IN,8000.0,0.0009,8000.0,0.0009,,8000.0
002049.SZ,20260827,马宁辉,G,IN,3200.0,0.0004,3200.0,0.0004,,3200.0
002049.SZ,20260827,岳超,G,IN,21100.0,0.0025,21100.0,0.0025,,21100.0
002049.SZ,20260827,李天池,G,IN,20000.0,0.0024,20000.0,0.0024,,20000.0
002049.SZ,20260827,陈杰,G,IN,108600.0,0.0129,108880.0,0.0129,,108880.0
301193.SZ,20260827,张三云,P,DE,2488100.0,1.3509,21600000.0,11.7276,,21600000.0
301037.SZ,20260827,杨美芹,G,DE,1375000.0,2.0225,32.0,0.0,13.44,11137928.0
301037.SZ,20260827,杨美芹,G,DE,1390300.0,2.045,1375032.0,2.0225,11.18,12512928.0
688234.SH,20260827,辽宁中德产业股权投资基金合伙企业(有限合伙),C,DE,3669880.0,0.854,16592738.0,3.4239,,16592738.0
688234.SH,20260827,辽宁海通新能源低碳产业股权投资基金有限公司,C,DE,1157926.0,0.2695,5235174.0,1.0803,,5235174.0
002456.SZ,20260827,曾兆豪,G,IN,209900.0,0.0063,,,,1515400.0
002456.SZ,20260827,周亮,G,IN,209300.0,0.0063,,,,1514500.0
002049.SZ,20260827,丁芝永,G,IN,1800.0,0.0002,1800.0,0.0002,,1800.0
002049.SZ,20260827,王坤,G,IN,2000.0,0.0002,2000.0,0.0002,,2000.0
002049.SZ,20260827,陈雄,G,IN,2000.0,0.0002,2000.0,0.0002,,2000.0
002049.SZ,20260827,佟晓丹,G,IN,20000.0,0.0024,20000.0,0.0024,,20000.0
002049.SZ,20260827,杨秋平,G,IN,3600.0,0.0004,3600.0,0.0004,,3600.0
002049.SZ,20260827,翟应斌,G,IN,4000.0,0.0005,4000.0,0.0005,,4000.0
002049.SZ,20260827,邬睿,G,IN,8000.0,0.0009,8000.0,0.0009,,8000.0
002049.SZ,20260827,马宁辉,G,IN,3200.0,0.0004,3200.0,0.0004,,3200.0
002049.SZ,20260827,岳超,G,IN,21100.0,0.0025,21100.0,0.0025,,21100.0
002049.SZ,20260827,李天池,G,IN,20000.0,0.0024,20000.0,0.0024,,20000.0
002049.SZ,20260827,陈杰,G,IN,108600.0,0.0129,108880.0,0.0129,,108880.0
002893.SZ,20260827,赵一波,P,DE,217000.0,0.107,26363987.0,13.0014,9.36,26363987.0
002893.SZ,20260827,赵一波,P,DE,1060000.0,0.5227,26580987.0,13.1084,9.36,26580987.0
002893.SZ,20260827,赵一波,P,DE,550000.0,0.2712,27640987.0,13.6311,9.24,27640987.0
002083.SZ,20260827,孙小惠,P,IN,228500.0,0.0241,30228555.0,3.1944,,30228555.0
000935.SZ,20260827,中国中信金融资产管理股份有限公司,C,DE,6473800.0,0.848,38171993.0,5.0,,38171993.0
605118.SH,20260827,张军光,G,DE,8500.0,0.0021,,,29.412,25600.0
605118.SH,20260827,陈亚聪,G,DE,4200.0,0.001,,,30.135,25800.0
603209.SH,20260827,山东日盈投资有限公司,C,DE,1608600.0,0.5004,0.0,,,0.0
300599.SZ,20260827,黄锦禧,G,DE,987900.0,0.3116,67142800.0,21.179,,67142800.0
300599.SZ,20260827,吴端明,G,DE,135000.0,0.0427,62813.0,0.0199,12.8,656250.0
000598.SZ,20260827,信环绿色控股(北京)有限责任公司,C,IN,26673707.0,0.894,268895203.0,9.0124,,268895203.0
603755.SH,20260827,浙江君弘资产管理有限公司-君弘钱江二十七期私募证券投资基金,C,DE,78700.0,0.0798,4851957.0,4.9202,,4851957.0
